#Path	#Template Name	#File Size (bytes)	#Header Magic ID	#Header Version	#Build DateTime	#Template GUID	#SHA1
GCAISPACESHIPGLOBALS.GLOBAL.MBIN	GcAISpaceshipGlobals	0x0000000000000D00	0xCCCCCCCC	0x000009C4	0x0000002EF6CF62D0	0x2FFA5EF92872E6FC	0x287727269215308EC97EDB89BCBDDFC41991B19D
GCATLASGLOBALS.GLOBAL.MBIN	GcAtlasGlobals	0x0000000000000070	0xCCCCCCCC	0x000009C4	0x0000000006054A50	0xF07A5559350356C7	0xEB3F97E903194FC88065B4A9CCE6109FC830AE4B
GCAUDIOGLOBALS.GLOBAL.MBIN	GcAudioGlobals	0x0000000000000138	0xCCCCCCCC	0x000009C4	0x0000002EF6CF62D0	0x909213CA197AC1CB	0x95A0F40FB9D110D9E82687CEBB8BEB19D3839640
GCBUILDINGGLOBALS.GLOBAL.MBIN	GcBuildingGlobals	0x0000000000000190	0xCCCCCCCC	0x000009C4	0x0000000006054A50	0x209225682523101E	0x3DB7DCD8664A6BE50006B1F0B768CB4C22B8A112
GCCAMERAGLOBALS.GLOBAL.MBIN	GcCameraGlobals	0x0000000000001DB0	0xCCCCCCCC	0x000009C4	0x0000002EF6CF62D0	0x8FD6A6E0B0279B16	0x5EE74A6F313675E8414A7D180E70113E0BD1D243
GCCREATUREGLOBALS.MBIN	GcCreatureGlobals	0x00000000000006F0	0xCCCCCCCC	0x000009C4	0x0000002EF6CF62D0	0xDCADEB0CADAB3D9A	0x139471FE248D9AF2833585F106E0F8BA9462658C
GCDEBUGOPTIONS.GLOBAL.MBIN	GcDebugOptions	0x0000000000000DCC	0xCCCCCCCC	0x000009C4	0x0000002EF6CF62D0	0x548F1D2EF9845D2C	0xA777DF8EEB11C3332D6380E351C06F72CF57C328
GCENVIRONMENTGLOBALS.GLOBAL.MBIN	GcEnvironmentGlobals	0x00000000000004C0	0xCCCCCCCC	0x000009C4	0x0000002EF6CF62D0	0x7DB5F3DF6DFEC088	0x338C62A0225121C45DADA555BFCFDFD7C68B65AB
GCGALAXYGLOBALS.GLOBAL.MBIN	GcGalaxyGlobals	0x0000000000001740	0xCCCCCCCC	0x000009C4	0x0000002EF6CF62D0	0xDDD9CAFCDA3ADFF4	0xF83F0592C704850E2EC6A9C113519D0EE3B3E123
GCGAMEPLAYGLOBALS.GLOBAL.MBIN	GcGameplayGlobals	0x0000000000001180	0xCCCCCCCC	0x000009C4	0x0000002EF6CF62D0	0x667932AA90F109D7	0x53DDBFFDC170FD51A9CD7BAFB216E8A2841DEC4F
GCGRAPHICSGLOBALS.GLOBAL.MBIN	GcGraphicsGlobals	0x00000000000009A0	0xCCCCCCCC	0x000009C4	0x0000002EF6CF62D0	0x0BFABE1AE7949C6D	0x1A2EA80B3BFD92043A6E4FAE5880D91D240488DC
GCMULTIPLAYERGLOBALS.GLOBAL.MBIN	GcMultiplayerGlobals	0x0000000000000094	0xCCCCCCCC	0x000009C4	0x0000000006054A50	0x44F5C33F09865A27	0x532EC5041CF9AEF1C033C71B8CF9229840330617
GCPLACEMENTGLOBALS.MBIN	GcPlacementGlobals	0x0000000000000090	0xCCCCCCCC	0x000009C4	0x0000000006054A50	0x835A9EE0AC007013	0x50F14D15D99A673ABEEF6A3E2E4F8C80EBCF8421
GCPLAYERGLOBALS.GLOBAL.MBIN	GcPlayerGlobals	0x0000000000000B70	0xCCCCCCCC	0x000009C4	0x0000002EF6CF62D0	0xE0649426886C75A6	0xF7B45DA9BB45E18F89C3EA3BB372B6D5EEC218C2
GCROBOTGLOBALS.MBIN	GcRobotGlobals	0x00000000000003D0	0xCCCCCCCC	0x000009C4	0x0000002EF6CF62D0	0xFE36BC36D61C6084	0xDE8ECF7F4CD405B8E1D6C38721256DABA1883BE2
GCSCENEOPTIONS.GLOBAL.MBIN	GcSceneOptions	0x0000000000000310	0xCCCCCCCC	0x000009C4	0x0000000006054A50	0xE631F099F9410CAB	0xEE88A71EC4FF7B45A84EC86FB76394A4B9596AD5
GCSCRATCHPADGLOBALS.GLOBAL.MBIN	GcScratchpadGlobals	0x0000000000002830	0xCCCCCCCC	0x000009C4	0x0000002EF6CF62D0	0xC14472951E47BFF8	0x84E5D25058BE0223825BE37EA6C37448FD289DC9
GCSIMULATIONGLOBALS.GLOBAL.MBIN	GcSimulationGlobals	0x0000000000001CE8	0xCCCCCCCC	0x000009C4	0x0000000006054A50	0xB287A5D73D55770D	0xF31D536DE41B1C41F840E44A373F4C354050EA83
GCSKYGLOBALS.GLOBALS.MBIN	GcSkyGlobals	0x0000000000000C10	0xCCCCCCCC	0x000009C4	0x0000002EF6CF62D0	0x34E3262AC99992D8	0xDAAD5BBDB4EBC78D0CDD7F177E2079435FDCE5F3
GCSMOKETESTOPTIONS.GLOBAL.MBIN	GcSmokeTestOptions	0x0000000000000088	0xCCCCCCCC	0x000009C4	0x0000000006054A50	0x30EC660D3770759D	0x7FFC6EA97C388E73BBC91DA911CDA87C4A6154F1
GCSOLARGENERATIONGLOBALS.GLOBAL.MBIN	GcSolarGenerationGlobals	0x00000000000002B0	0xCCCCCCCC	0x000009C4	0x0000002EF6CF62D0	0x94FBF84FAC8ED0CA	0xFCC190DE73AAB03266A22B9CD7A724F8E4912603
GCSPACESHIPGLOBALS.GLOBAL.MBIN	GcSpaceshipGlobals	0x0000000000000D10	0xCCCCCCCC	0x000009C4	0x0000002EF6CF62D0	0x4043A643BBABFD9B	0x5822543B572BA6C07C7523E8E2E1B9741A696588
GCTERRAINGLOBALS.GLOBAL.MBIN	GcTerrainGlobals	0x00000000000001F0	0xCCCCCCCC	0x000009C4	0x0000002EF6CF62D0	0x0B8EA4D453C549C3	0x91EE310AC5D086D83202013C363759D3FF64E312
GCUIGLOBALS.GLOBAL.MBIN	GcUIGlobals	0x0000000000004700	0xCCCCCCCC	0x000009C4	0x0000002EF6CF62D0	0x7F5E321A83F71D87	0xAE7A29F0703B1544841796E4DE82A35B57486FA5
GCVEHICLEGLOBALS.GLOBAL.MBIN	GcVehicleGlobals	0x0000000000002510	0xCCCCCCCC	0x000009C4	0x0000002EF6CF62D0	0x9AE7CA470654BF82	0x1986E145499060D2C40F3F0F29EE48F429BDC2B9
GCWATERGLOBALS.GLOBAL.MBIN	GcWaterGlobals	0x0000000000000061	0xCCCCCCCC	0x000009C4	0x0000000006054A50	0xF6880107EFA641FB	0xBD0257D0205643CE87F83D7356B4E6674AFACAB8
MATERIALS\ATMOSPHERE.MATERIAL.MBIN	TkMaterialData	0x0000000000000628	0xCCCCCCCC	0x000009C4	0x0000000000000000	0xB59A78FF93F72588	0x73DA2A0D50009529E667078EEDC8E39845A62EB4
MATERIALS\BACKGROUNDFROMTEXTURE.MATERIAL.MBIN	TkMaterialData	0x0000000000000398	0xCCCCCCCC	0x000009C4	0x0000000000000000	0xB59A78FF93F72588	0x8DD5B622F294B33D3FF271D1A1FCA5BB8D335366
MATERIALS\BASIC.MATERIAL.MBIN	TkMaterialData	0x0000000000000238	0xCCCCCCCC	0x000009C4	0x0000000000000000	0xB59A78FF93F72588	0x464958AAFE8C4C1114C7A29431A7025ECB5A8FA8
MATERIALS\BUILDBLOCK.MATERIAL.MBIN	TkMaterialData	0x0000000000000478	0xCCCCCCCC	0x000009C4	0x0000000000000000	0xB59A78FF93F72588	0xCAEEAC9A138286F80E08C2281858DD929BF01278
MATERIALS\BUILDREMOVEBLOCK.MATERIAL.MBIN	TkMaterialData	0x0000000000000478	0xCCCCCCCC	0x000009C4	0x0000000000000000	0xB59A78FF93F72588	0x90B56EFFD797FB8D0D706F18C89CE295EA6314FD
MATERIALS\CLOUD.MATERIAL.MBIN	TkMaterialData	0x0000000000000C20	0xCCCCCCCC	0x000009C4	0x0000000000000000	0xB59A78FF93F72588	0x3692D1DF4A56DFAE445D787DC1D9F5C8E6A76E32
MATERIALS\COMBINEDIFFUSEMAPS.MATERIAL.MBIN	TkMaterialData	0x0000000000000508	0xCCCCCCCC	0x000009C4	0x0000000000000000	0xB59A78FF93F72588	0xF4A0D215BBEA76D0EC00FE1820BD7BB46476BDCA
MATERIALS\COMBINEMAPS.MATERIAL.MBIN	TkMaterialData	0x0000000000001540	0xCCCCCCCC	0x000009C4	0x0000000000000000	0xB59A78FF93F72588	0xDD3F9039AE822352F916A0F0DC1E0CA30BB9A913
MATERIALS\COMPUTENOISE.MATERIAL.MBIN	TkMaterialData	0x0000000000000238	0xCCCCCCCC	0x000009C4	0x0000000000000000	0xB59A78FF93F72588	0x86E41450216AA6FC23D2A016618530585B5A30AE
MATERIALS\DEBUG.MATERIAL.MBIN	TkMaterialData	0x0000000000000418	0xCCCCCCCC	0x000009C4	0x0000000000000000	0xB59A78FF93F72588	0xE4A832DE4BBB0657A98272E12A3C8E67E0EDD4D2
MATERIALS\DEFAULT.MATERIAL.MBIN	TkMaterialData	0x0000000000000390	0xCCCCCCCC	0x000009C4	0x0000000000000000	0xB59A78FF93F72588	0x46621CDB27D613A9E5DF2CDAFF13A21759E635F7
MATERIALS\DEPTHOFFIELD.MATERIAL.MBIN	TkMaterialData	0x00000000000003D8	0xCCCCCCCC	0x000009C4	0x0000000000000000	0xB59A78FF93F72588	0xDCBFEC25C0BA0A31DDBEE9FDAC06E136F6D9AA91
