# Tab-separated values. Open with a spreadsheet app such as Excel.

# READ-ONLY. DO NOT MODIFY OR DELETE.

#Template Name	#Size (bytes)
GcDoShipReceiveHail	0x0000000000000000
GcMissionConditionHasLegacyBasePending	0x0000000000000000
GcMissionConditionMissionMessagePortal	0x0000000000000000
GcMissionConditionExpeditionProgress	0x0000000000000000
GcPlayerCharacterComponentData	0x0000000000000000
GcPlayerWeaponComponentData	0x0000000000000000
GcNPCNavigationAreaComponentData	0x0000000000000000
GcFreighterSyncComponentData	0x0000000000000000
GcNetworkPlayerMarkerComponentData	0x0000000000000000
GcLadderComponentData	0x0000000000000000
GcCharacterInterfaceComponentData	0x0000000000000000
GcCostFrigateCargo	0x0000000000000000
GcRewardProceduralProductFromBiome	0x0000000000000000
GcRewardScanEventNearestBuilding	0x0000000000000000
GcRewardCargo	0x0000000000000000
GcRewardPirateAttack	0x0000000000000000
EmptyNode	0x0000000000000000
GcMissionConditionMissionMessageWarp	0x0000000000000000
GcMissionConditionIsCurrentMission	0x0000000000000000
GcRewardAdvancePortalState	0x0000000000000000
GcRewardClosePortal	0x0000000000000000
GcRewardStartPurchase	0x0000000000000000
VariableSizeString	0x0000000000000000
GcDestroyAction	0x0000000000000001
GcMissionConditionCriticalMissionsDone	0x0000000000000001
GcRewardPirateProbeSignal	0x0000000000000001
GcRewardShowBlackHoles	0x0000000000000001
GcRewardTimeWarp	0x0000000000000001
GcTextStylePlain	0x0000000000000001
GcMissionConditionOnOtherSideOfPortal	0x0000000000000002
GcMissionConditionWeather	0x0000000000000003
GcDoShipReceiveMessage	0x0000000000000004
TkMetadataReadMask	0x0000000000000004
GcMissionConditionHasFreighter	0x0000000000000004
GcMissionConditionInCombat	0x0000000000000004
GcMissionConditionWeaponMode	0x0000000000000004
GcPhotoBuilding	0x0000000000000004
GcPhotoPlant	0x0000000000000004
GcPlayerWeapons	0x0000000000000004
GcShipDialogueTreeEnum	0x0000000000000004
GcCustomisationComponentData	0x0000000000000004
GcCreatureRoleFrequencyModifier	0x0000000000000004
GcDay	0x0000000000000004
GcAlienPuzzleCategory	0x0000000000000004
GcMonth	0x0000000000000004
GcNetworkInterpolationComponentData	0x0000000000000004
GcVehicleRaceInviteComponentData	0x0000000000000004
GcPlayerCharacterStateType	0x0000000000000004
GcExpeditionCategory	0x0000000000000004
GcBroadcastLevel	0x0000000000000004
GcExpeditionDuration	0x0000000000000004
GcHeightAdjustComponentData	0x0000000000000004
GcFrigateTraitStrength	0x0000000000000004
GcFrigateStatType	0x0000000000000004
GcFrigateClass	0x0000000000000004
GcAlienPuzzleTableIndex	0x0000000000000004
GcProceduralTechnologyCategory	0x0000000000000004
GcHazardModifiers	0x0000000000000004
GcProceduralProductCategory	0x0000000000000004
GcRewardProceduralProduct	0x0000000000000004
GcShipMessage	0x0000000000000004
GcRewardShipMessage	0x0000000000000004
GcRewardTriggerStorm	0x0000000000000004
GcRewardProceduralTechnology	0x0000000000000004
GcRewardFrigateDamageResponse	0x0000000000000004
GcRewardRefreshHazProt	0x0000000000000004
GcWeightingCurve	0x0000000000000004
GcScreenFilters	0x0000000000000004
GcPhotoCreature	0x0000000000000004
GcDamageType	0x0000000000000004
GcAISpaceshipRoles	0x0000000000000004
GcAISpaceshipTypes	0x0000000000000004
GcAlienRace	0x0000000000000004
GcAtlasDownloadType	0x0000000000000004
GcAudioWwiseEvents	0x0000000000000004
GcAudioWwiseRTPCs	0x0000000000000004
GcBaseBuildingObjectDecorationTypes	0x0000000000000004
GcBaseBuildingObjectTypes	0x0000000000000004
GcBiomeType	0x0000000000000004
GcBuildingClassification	0x0000000000000004
GcBuildingClusterPlacement	0x0000000000000004
GcBuildingDensityLevels	0x0000000000000004
GcChainComponentData	0x0000000000000004
GcCostCargo	0x0000000000000004
GcCostHealth	0x0000000000000004
GcCostNPCHabitation	0x0000000000000004
GcCreatureGroups	0x0000000000000004
GcCreatureIkType	0x0000000000000004
GcCreatureLegIKComponentData	0x0000000000000004
GcCreatureRoles	0x0000000000000004
GcCreatureSizeClasses	0x0000000000000004
GcCreatureTypes	0x0000000000000004
GcDefaultMissionProduct	0x0000000000000004
GcDefaultMissionProductEnum	0x0000000000000004
GcDefaultMissionSubstance	0x0000000000000004
GcDefaultMissionSubstanceEnum	0x0000000000000004
GcDiscoveryTypes	0x0000000000000004
GcEncounterComponentData	0x0000000000000004
GcEncyclopediaComponentData	0x0000000000000004
GcEngineComponentData	0x0000000000000004
GcFoliageComponentData	0x0000000000000004
GcFontTypesEnum	0x0000000000000004
GcGalaxyMarkerTypes	0x0000000000000004
GcGalaxyStarAnomaly	0x0000000000000004
GcGalaxyStarTypes	0x0000000000000004
GcGalaxyWaypointTypes	0x0000000000000004
GcGameMode	0x0000000000000004
GcGenericIconTypes	0x0000000000000004
GcInteractionBufferType	0x0000000000000004
GcInteractionType	0x0000000000000004
GcInventoryClass	0x0000000000000004
GcInventoryLayoutSizeType	0x0000000000000004
GcInventorySpecialSlotType	0x0000000000000004
GcInventoryType	0x0000000000000004
GcJourneyCategoryType	0x0000000000000004
GcJourneyMedalType	0x0000000000000004
GcLegality	0x0000000000000004
GcMaintenanceElementGroups	0x0000000000000004
GcMissionCategory	0x0000000000000004
GcMissionConditionBiomeType	0x0000000000000004
GcMissionConditionExtraSuitSlots	0x0000000000000004
GcMissionConditionGameMode	0x0000000000000004
GcMissionConditionGlobalMission	0x0000000000000004
GcMissionConditionHasGalacticFeature	0x0000000000000004
GcMissionConditionHasTechnology	0x0000000000000004
GcMissionConditionIsAnomalyLoaded	0x0000000000000004
GcMissionConditionLocation	0x0000000000000004
GcMissionConditionProductKnown	0x0000000000000004
GcMissionConditionSystemRace	0x0000000000000004
GcMissionConditionTechnologyKnown	0x0000000000000004
GcMissionConditionTest	0x0000000000000004
GcMissionConditionTotalWarpsNumber	0x0000000000000004
GcMissionDifficulty	0x0000000000000004
GcMissionFaction	0x0000000000000004
GcMissionGalacticFeature	0x0000000000000004
GcMissionGalacticPoint	0x0000000000000004
GcMissionPageHint	0x0000000000000004
GcMissionType	0x0000000000000004
GcNPCHabitationType	0x0000000000000004
GcPerformanceGuard	0x0000000000000004
GcPersistentBaseTypes	0x0000000000000004
GcPhysicsCollisionGroups	0x0000000000000004
GcPlanetClass	0x0000000000000004
GcPlanetLife	0x0000000000000004
GcPlanetSize	0x0000000000000004
GcPlayerComponentData	0x0000000000000004
GcPlayerConflictData	0x0000000000000004
GcPlayerMissionParticipantType	0x0000000000000004
GcPortalComponentData	0x0000000000000004
GcPrimaryAxis	0x0000000000000004
GcProductCategory	0x0000000000000004
GcProductTableEnum	0x0000000000000004
GcProjectileImpactType	0x0000000000000004
GcRarity	0x0000000000000004
GcRealityCommonFactions	0x0000000000000004
GcRealitySubstanceCategory	0x0000000000000004
GcResourceOrigin	0x0000000000000004
GcRewardAtlasPathProgress	0x0000000000000004
GcRewardChangeGlobalMission	0x0000000000000004
GcRewardDestructEntry	0x0000000000000004
GcRewardDiscoverRune	0x0000000000000004
GcRewardEnergy	0x0000000000000004
GcRewardJourneyThroughCentre	0x0000000000000004
GcRewardRepairTech	0x0000000000000004
GcRewardSignalScan	0x0000000000000004
GcRewardTeleport	0x0000000000000004
GcRewardWorker	0x0000000000000004
GcScannerBuildingIconTypes	0x0000000000000004
GcScannerIconTypes	0x0000000000000004
GcShieldComponentData	0x0000000000000004
GcShipFlareComponentData	0x0000000000000004
GcShipWeaponData	0x0000000000000004
GcSizeIndicator	0x0000000000000004
GcSolarSystemClass	0x0000000000000004
GcSolarSystemLocatorTypes	0x0000000000000004
GcSpaceshipClasses	0x0000000000000004
GcStatDisplayType	0x0000000000000004
GcStateTimeEvent	0x0000000000000004
GcStatsEnum	0x0000000000000004
GcStatsTypes	0x0000000000000004
GcStatTrackType	0x0000000000000004
GcStatType	0x0000000000000004
GcStyleProp_Font	0x0000000000000004
GcStyleProp_Size	0x0000000000000004
GcSubstanceTableEnum	0x0000000000000004
GcTechnologyCategory	0x0000000000000004
GcTechnologyRarity	0x0000000000000004
GcTechnologyTableEnum	0x0000000000000004
GcTeleporterType	0x0000000000000004
GcTerrainTileType	0x0000000000000004
GcTradeCategory	0x0000000000000004
GcTradingClass	0x0000000000000004
GcTurretComponentData	0x0000000000000004
GcVehicleGarageComponentData	0x0000000000000004
GcVehicleType	0x0000000000000004
GcWarpAction	0x0000000000000004
GcWealthClass	0x0000000000000004
GcWeaponClasses	0x0000000000000004
GcWeatherOptions	0x0000000000000004
GcWikiTopicType	0x0000000000000004
TkCurveType	0x0000000000000004
TkEqualityEnum	0x0000000000000004
TkInputEnum	0x0000000000000004
TkLanguages	0x0000000000000004
TkMaterialFlags	0x0000000000000004
TkNoiseOffsetEnum	0x0000000000000004
TkNoiseVoxelTypeEnum	0x0000000000000004
TkProbability	0x0000000000000004
TkRandomComponentData	0x0000000000000004
TkUserServiceAuthProvider	0x0000000000000004
TkVolumeTriggerType	0x0000000000000004
GcGenericMissionVersionProgress	0x0000000000000008
GcMissionConditionNearObject	0x0000000000000008
GcMissionConditionFrigateCount	0x0000000000000008
GcMissionConditionHasMoney	0x0000000000000008
GcMissionConditionWaitForTime	0x0000000000000008
GcPhotoFauna	0x0000000000000008
GcPhotoBuildings	0x0000000000000008
GcPhotoFlora	0x0000000000000008
GcCostFleetStoredIncome	0x0000000000000008
GcExpeditionDifficultyKeyframe	0x0000000000000008
GcFrigateStatRange	0x0000000000000008
TkAnimationGameData	0x0000000000000008
GcTerrainTextureSettings	0x0000000000000008
GcDamageMultiplier	0x0000000000000008
GcCostMoney	0x0000000000000008
GcCostPirateTribute	0x0000000000000008
GcCostStanding	0x0000000000000008
DecorationComponentData	0x0000000000000008
GcDoShipFlybyIntercept	0x0000000000000008
GcDoShipFlybyOverhead	0x0000000000000008
GcFactionSelectOptions	0x0000000000000008
GcHazardValues	0x0000000000000008
GcHUDStartup	0x0000000000000008
GcInputActionMapping	0x0000000000000008
GcInventoryBaseStatBonus	0x0000000000000008
GcInventoryIndex	0x0000000000000008
GcMiningComponentData	0x0000000000000008
GcMissionConditionHasFuel	0x0000000000000008
GcMissionConditionIsLookingAtAnomaly	0x0000000000000008
GcMissionConditionIsPlayerWanted	0x0000000000000008
GcMissionConditionIsTechnologyRepaired	0x0000000000000008
