# Tab-separated values. Open in Excel.

# READ-ONLY. DO NOT MODIFY OR DELETE.

#Type	#Size (bytes)
MBINHeader	96
Colour	16
EmptyNode	0
GcActionTrigger	88
GcActionTriggerState	32
GcAIShipSpawnData	168
GcAISpaceshipComponentData	148
GcAISpaceshipInstanceData	128
GcAISpaceshipManagerData	80
GcAISpaceshipMappingData	16
GcAISpaceshipModelData	136
GcAISpaceshipModelDataArray	16
GcMissionConditionIsMissionInProgress	16
GcMissionConditionMissionMessageWarp	0
GcMissionConsequenceRemoveCommunicatorMessage	32
GcMissionSequenceStartMission	152
GcAISpaceshipPreloadCacheData	32
GcAISpaceshipPreloadCacheDataTable	16
GcAISpaceshipPreloadList	24
GcAISpaceshipRoles	4
GcAISpaceshipTypes	4
GcAISpaceshipWeightingData	28
GcAlienPuzzleEntry	1248
GcAlienPuzzleMissionOverride	48
GcAlienPuzzleOption	680
GcAlienPuzzleTable	16
GcAlienRace	4
GcAlienSpeechEntry	64
GcAlienSpeechTable	16
GcAmbientModeCameras	48
GcAnimFrameEvent	24
GcAsteroidGeneratorAssignment	72
GcAsteroidGeneratorRing	128
GcAsteroidGeneratorSlab	128
GcAsteroidGeneratorSurround	96
GcAtlasBase	664
GcAtlasDiscoveryData	72
GcAtlasDiscoveryMetadata	128
GcAtlasDownloadType	4
GcAtlasGlobals	16
GcAtlasMessage	172
GcAtlasMonument	272
GcAtlasRecvVoxel	12
GcAtlasSendSubmitMonument	48
GcAtmosphereList	16
GcAudio3PointDopplerData	12
GcAudioAreaTriggerComponentData	16
GcAudioNPCDoppler	60
GcAudioPulseDemo	44
GcAudioWwiseEvents	4
GcAudioWwiseRTPCs	4
GcBaseBuildingComponentData	20
GcBaseBuildingEntry	304
GcBaseBuildingGroup	48
GcBaseBuildingMaterial	160
GcBaseBuildingObjectDecorationTypes	4
GcBaseBuildingObjectTypes	4
GcBaseBuildingPalette	32
GcBaseBuildingProperties	48
GcBaseBuildingTable	1904
GcBaseBuildingTriggerAction	24
GcBeenShotEvent	12
GcBiomeData	1024
GcBiomeFileList	192
GcBiomeFileListOptions	16
GcBiomeList	40
GcBiomeListPerStarType	272
GcBiomeType	4
GcBirdData	144
GcBlockedMessage	128
GcBlockedUser	128
GcBlockListPersistence	12816
GcBoidData	44
GcBootLogoData	1040
GcBountySpawnInfo	368
GcBuildingClassification	4
GcBuildingClusterPlacement	4
GcBuildingCostPartCount	20
GcBuildingDefinitionData	88
GcBuildingDefinitionTable	99248
GcBuildingDensity	20
GcBuildingDensityLevels	4
GcBuildingDistribution	24
GcBuildingFilename	512
GcBuildingFilenameList	13824
GcBuildingOverrideData	48
GcBuildingPartSearchType	4
GcBuildingSpawnData	1488
GcButtonSpawn	40
GcButtonSpawnOffset	32
GcButtonSpawnTable	16
GcCameraAerialViewData	48
GcCameraAmbientBuildingData	72
GcCameraAmbientSpaceData	40
GcCameraAmbientSpecialData	40
GcCameraAnimationData	132
GcCameraAnomalySetupData	64
GcCameraFollowSettings	208
GcCameraShakeAction	24
GcCameraShakeCapturedData	20
GcCameraShakeData	192
GcCameraShakeMechanicalData	112
GcCameraSpawnSetupData	16
GcChainComponentData	4
GcCloudProperties	240
GcColouriseComponentData	32
GcColourModifier	48
GcColourPaletteData	112
GcCostBuildingParts	36
GcCostCargo	4
GcCostHealth	4
GcCostInstalledTech	20
GcCostJourneyMilestone	16
GcCostJourneyStatLevel	24
GcCostMissionComplete	16
GcCostMoney	4
GcCostNPCHabitation	4
GcCostPirateTribute	8
GcCostProduct	32
GcCostStanding	8
GcCostSubstance	32
GcCostTable	32
GcCostTableEntry	96
GcCreatureAlertData	24
GcCreatureAudioTable	16
GcCreatureBaitComponentData	32
GcCreatureComponentData	24
GcCreatureData	88
GcCreatureDataTable	16
GcCreatureFilename	144
GcCreatureFilenameTable	16
GcCreatureFootParticleData	16
GcCreatureFootParticleSingleData	32
GcCreatureFullBodyIKComponentData	24
GcCreatureGroupDescription	32
GcCreatureGroupProbability	24
GcCreatureGroups	4
